name,total_mac_cycles,total_dma_accesses,total_memory_mb,schedule_name
mobilenet_v2_hwcf_schedule_pdp_21_3_20_1.7_20_1_21_3_10_200_10_600_19_1_600_20.csv,7374101,4198448,0.44,pdp
mobilenet_v2_hwcf_schedule_pdp_21_3_20_1.7_20_1_21_3_10_600_10_200_19_1_200_20.csv,7374101,4198448,0.44,pdp
mobilenet_v2_hwcf_schedule_32_3_20_1.7_4_1_32_5_40_800_4_800_32_5_800_40.csv,12748854,14228992,0.48,per_layer
mobilenet_v2_hwcf_schedule_21_3_20_1.7_40_1_21_5_4_800_40_800_21_5_800_4.csv,16150488,14245104,0.48,per_layer
mobilenet_v2_hwcf_schedule_21_3_20_1.7_4_1_21_5_40_800_4_800_21_5_800_40.csv,12783414,14245104,0.48,per_layer
mobilenet_v2_hwcf_schedule_dw_pw_7_3_20_1.7_40_1_5_1_20_800_40_800_5_1_800_20.csv,10442428,10323072,0.4,dp
mobilenet_v2_hwcf_schedule_pdp_7_3_20_1.7_20_1_7_3_10_200_10_600_5_1_600_20.csv,8238496,4138240,0.44,pdp
mobilenet_v2_hwcf_schedule_112_3_20_1.7_4_1_112_5_40_800_4_800_112_5_800_40.csv,12686838,14172752,0.5,per_layer
mobilenet_v2_hwcf_schedule_7_3_20_1.7_40_1_7_5_4_800_40_800_7_5_800_4.csv,18519957,13965536,0.48,per_layer
mobilenet_v2_hwcf_schedule_7_3_20_1.7_4_1_7_5_40_800_4_800_7_5_800_40.csv,12756726,13965536,0.48,per_layer
mobilenet_v2_hwcf_schedule_pdp_7_3_20_1.7_20_1_7_3_10_600_10_200_5_1_200_20.csv,8238496,4138240,0.44,pdp
mobilenet_v2_hwcf_schedule_dw_pw_112_3_20_1.7_40_1_110_1_20_800_40_800_110_1_800_20.csv,9238284,10376992,0.42,dp
mobilenet_v2_hwcf_schedule_pdp_112_3_20_1.7_20_1_112_3_10_200_10_600_110_1_600_20.csv,7244132,4210400,0.46,pdp
mobilenet_v2_hwcf_schedule_pdp_32_3_20_1.7_20_1_32_3_10_600_10_200_30_1_200_20.csv,7283759,4208576,0.44,pdp
mobilenet_v2_hwcf_schedule_pdp_112_3_20_1.7_20_1_112_3_10_600_10_200_110_1_200_20.csv,7244132,4210400,0.46,pdp
mobilenet_v2_hwcf_schedule_112_3_20_1.7_40_1_112_5_4_800_40_800_112_5_800_4.csv,15867752,14172752,0.5,per_layer
mobilenet_v2_hwcf_schedule_dw_pw_32_3_20_1.7_40_1_30_1_20_800_40_800_30_1_800_20.csv,9346420,10436272,0.41,dp
mobilenet_v2_hwcf_schedule_pdp_7_3_20_1.7_20_1_7_3_10_400_10_400_5_1_400_20.csv,8238496,4138240,0.44,pdp
mobilenet_v2_hwcf_schedule_pdp_32_3_20_1.7_20_1_32_3_10_400_10_400_30_1_400_20.csv,7283759,4208576,0.44,pdp
mobilenet_v2_hwcf_schedule_dw_pw_21_3_20_1.7_40_1_19_1_20_800_40_800_19_1_800_20.csv,9445446,10465696,0.41,dp
mobilenet_v2_hwcf_schedule_32_3_20_1.7_40_1_32_5_4_800_40_800_32_5_800_4.csv,15931147,14228992,0.48,per_layer
mobilenet_v2_hwcf_schedule_pdp_112_3_20_1.7_20_1_112_3_10_400_10_400_110_1_400_20.csv,7244132,4210400,0.46,pdp
mobilenet_v2_hwcf_schedule_pdp_32_3_20_1.7_20_1_32_3_10_200_10_600_30_1_600_20.csv,7283759,4208576,0.44,pdp
mobilenet_v2_hwcf_schedule_pdp_21_3_20_1.7_20_1_21_3_10_400_10_400_19_1_400_20.csv,7374101,4198448,0.44,pdp
